,old_name,modern_name,type_of_rule,modern_country,wikipage,infobox,infobox_keys,description,instance_of,inception,dissolved,religion,geoLoc,capital
25,Besançon,Besançon,['Freie Reichsstadt'],['FR'],<wptools.page.WPToolsPage object at 0x7f959f476d50>,True,"['nomcommune', 'image', 'image-desc', 'armoiries', 'région', 'département', 'arrondissement', 'canton', 'insee', 'cp', 'intercomm', 'longitude', 'latitude', 'alt moy', 'alt mini', 'alt maxi', 'siteweb']",,,,,,"('06/01/17/O', '47/14/32/N')",
26,Biberach an der Riß#Reichsstadt,Biberach,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f47e910>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'gliederung', 'straße', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('09/47/19/E', '48/05/53/N')",
27,Biel/Bienne,Biel/Bienne,['Zugewandter Ort'],['CH'],<wptools.page.WPToolsPage object at 0x7f959f47ee90>,True,"['bild', 'beschreibung', 'bildpfad_karte', 'bildpfad_wappen', 'region-iso', 'bezirk', 'imagemap', 'bfs', 'plz', 'un/locode', 'breitengrad', 'längengrad', 'höhe', 'fläche', 'stand_einwohner', 'stadtpräsident', 'website']","Panorama von Biel/Bienne,<br />aufgenommen aus westlicher Richtung",,,,,"('7.24674', '47.13679')",
28,Bistum,Bistum,"['Bistum Lebus', 'Lebus']","['DE-BB', 'PL']",<wptools.page.WPToolsPage object at 0x7f959f48cc10>,False,[nan],,,,,,"(nan, nan)",
29,Bistum Cammin,Cammin,['Hochstift'],['PL'],<wptools.page.WPToolsPage object at 0x7f959f47e050>,False,[nan],,,,,,"(nan, nan)",
30,Bistum Chiemsee,Chiemsee,['Hochstift'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f48cf50>,False,[nan],,,,,,"(nan, nan)",
31,Bistum Lebus,Lebus,['Hochstift'],"['DE-BB', 'PL']",<wptools.page.WPToolsPage object at 0x7f959f476dd0>,False,[nan],,,,,,"(nan, nan)",
32,Bitburg,Bitburg,"['Propstei (Luxemburg)', 'Propstei']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f959f48cb90>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'locode', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('06/31/32/E', '49/58/29/N')",
33,Bopfingen#Zeit als Reichsstadt,Bopfingen,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f48c5d0>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'gliederung', 'adresse', 'website', 'bürgermeister', 'partei']",,,,,,"('10/21/8/E', '48/51/25/N')",
34,Breda,Breda,['Herrschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f959f493f90>,True,"['typ', 'ortsflagge', 'ortswappen', 'karte des ortes', 'provinz', 'bürgermeister', 'sitz des ortes', 'fläche', 'landfläche', 'wasserfläche', 'cbs-code', 'breitengrad', 'längengrad', 'straße', 'vorwahl', 'postleitzahl', 'website']",,,,,,"('4/46/21/E', '51/35/25/N')",
35,Bremen (Territorium),Bremen,['Erzstift'],"['DE-NI', 'DE-HB']",<wptools.page.WPToolsPage object at 0x7f959f493d50>,True,"['wappen', 'karte', 'bildtext', 'name', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichskreis', 'hauptstädte/residenzen', 'dynastien', 'konfession/religion', 'sprache/n', 'nachfolger']",,,1180 aus der Auflösung des [[Stammesherzogtum Sachsen|Herzogtums Sachsen]],1807/10: [[Königreich Westphalen|Kgr Westphalen]]<br />1815: [[Königreich Hannover]],"bis zur Reformation [[römisch-katholisch]], danach [[evangelisch-lutherisch]]","(nan, nan)","[[Bremen]], [[Bücken]], [[Bremervörde]]"
36,Bremen-Verden,Bremen-Verden,['Herzogtum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f959f493e10>,True,"['wappen', 'karte', 'name', 'bildtext', 'alternativnamen', 'vorläufer', 'regierungsform', 'region-iso', 'reichskreis', 'hauptstädte', 'dynastien', 'konfession', 'sprache/n', 'nachfolger']",,,1648 [[Säkularisation]] des [[Erzstift Bremen|Erzstiftes Bremen]] und des [[Hochstift Verden|Hochstiftes Verden]],1807/10: [[Königreich Westphalen|Kgr Westphalen]]<br>1815: [[Königreich Hannover]],,"(nan, nan)",
37,Buchhorn,Buchhorn,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f497f50>,True,"['wappen', 'bildtext', 'regierungsform', 'region-iso', 'reichstag', 'reichskreis', 'konfession/religion', 'sprache/n', 'nachfolger']",,,,"[[Württemberg]], [[Friedrichshafen]]",[[römisch-katholisch]],"(nan, nan)",
38,Burg Wettin,Wettin,['Grafschaft'],['DE'],<wptools.page.WPToolsPage object at 0x7f959f497f90>,True,"['bild', 'bildbeschreibung', 'alternativname', 'entstehungszeit', 'typologie n. geo. lage', 'erhaltungszustand', 'ständische stellung', 'mauerwerksmerkmale', 'heutiger ortsname', 'breitengrad', 'längengrad', 'region-iso']",,,900 bis 1000,,,"('11/48/38.15/E', '51/34/59.30/N')",
39,Burggrafen von Kirchberg,Kirchberg,['Burggrafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f959f497e50>,False,[nan],,,,,,"(nan, nan)",
40,Burggrafschaft Dohna,Dohna,['Burggrafschaft'],['DE-SN'],<wptools.page.WPToolsPage object at 0x7f959f497a50>,False,[nan],,,,,,"(nan, nan)",
41,Burggrafschaft Friedberg,Friedberg,['Burggraf'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f959f497bd0>,False,[nan],,,,,,"(nan, nan)",
42,Burggrafschaft Meißen,Meißen,['Burggrafschaft'],['DE-SN'],<wptools.page.WPToolsPage object at 0x7f959f49d210>,False,[nan],,,,,,"(nan, nan)",
43,Burggrafschaft Nürnberg,Nürnberg,['Burggrafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f49df50>,False,[nan],,,,,,"(nan, nan)",
44,Burggrafschaft Rheineck,Rheineck,['Burggrafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f959f49df90>,False,[nan],,,,,,"(nan, nan)",
45,Burgundische Niederlande,Burgundische Niederlande,,"['NL', 'BE', 'LU', 'FR']",<wptools.page.WPToolsPage object at 0x7f959f49d2d0>,True,"['name', 'wappen', 'karte', 'bildtext', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichskreis', 'karte reichskreis', 'hauptstädte/residenzen', 'dynastien', 'nachfolger']",,,Diverse&nbsp;souveräne&nbsp;Fürstentümer im&nbsp;14./15.&nbsp;Jh.,[[Spanische Niederlande]] 1522,,"(nan, nan)",[[Brüssel]] (Statthalterei)
46,Colmar,Colmar,"['Freie Reichsstadt', 'Reichsstadt']",['FR'],<wptools.page.WPToolsPage object at 0x7f959f49d150>,True,"['nomcommune', 'armoiries', 'région', 'département', 'arrondissement', 'canton', 'maire', 'insee', 'cp', 'intercomm', 'longitude', 'latitude', 'alt mini', 'alt maxi', 'km²', 'siteweb', 'image', 'image-desc']",,,,,,"('07/21/18/O', '48/04/52/N')",
47,Comburg,Comburg,"['Stift (Kirche)', 'Ritterstift']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f49dd10>,False,[nan],,,,,,"(nan, nan)",
48,Damenstift Buchau,Buchau,['Reichsstift'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f49dc50>,False,[nan],,,,,,"(nan, nan)",
49,Deutschordensballei Schwaben-Elsass-Burgund,Elsass und Burgund,['Ballei'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f49d4d0>,False,[nan],,,,,,"(nan, nan)",
50,Deutschordenskommende Koblenz,Koblenz,['Ballei'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f959f49db90>,False,[nan],,,,,,"(nan, nan)",
51,Diözese Graz-Seckau,Seckau,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f959f49d5d0>,True,"['karte', 'karte kirchenprovinz', 'staat', 'kirchenprovinz', 'metropolitanbistum', 'diözesanbischof', 'emeritierter diözesanbischof', 'generalvikar', 'bischofsvikar', 'fläche', 'stand', 'pfarreien', 'einwohner', 'katholiken', 'diözesanpriester', 'ordenspriester', 'ordensbrüder', 'ordensschwestern', 'ständige diakone', 'ritus', 'liturgiesprache', 'kathedrale', 'anschrift', 'website']",,,,,,"(nan, nan)",
52,Diözese Gurk,Gurk,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f959f4acc50>,True,"['karte', 'karte kirchenprovinz', 'staat', 'kirchenprovinz', 'metropolitanbistum', 'diözesanbischof', 'generalvikar', 'fläche', 'stand', 'dekanate', 'pfarreien', 'einwohner', 'katholiken', 'diözesanpriester', 'ordenspriester', 'ordensbrüder', 'ordensschwestern', 'ständige diakone', 'ritus', 'liturgiesprache', 'kathedrale', 'konkathedrale', 'website', 'apostolischer visitator']",,,,,,"(nan, nan)",
53,Diözese Lavant,Lavant,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f959f4ace50>,False,[nan],,,,,,"(nan, nan)",
54,Donauwörth,Donauwörth,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f4acf90>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'gliederung', 'straße', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('10/46/40/E', '48/43/08/N')",
55,Drei Bünde,Drei Bünde,"['Freistaat (Republik)', 'Freistaat']","['CH', 'IT']",<wptools.page.WPToolsPage object at 0x7f959f42ff10>,False,[nan],,,,,,"(nan, nan)",
56,Duisburg,Duisburg,"['Freie Reichsstadt', 'Reichsstadt']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f959f4acb90>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'karte', 'lageplan', 'lageplanbeschreibung', 'bundesland', 'regierungsbezirk', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'nuts', 'locode', 'gliederung', 'adresse', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('6.766144', '51.433438')",
57,Dänemark,Dänemark,,,<wptools.page.WPToolsPage object at 0x7f959f4acfd0>,True,"['name-amtssprache', 'name-deutsch', 'bild-flagge', 'artikel-flagge', 'bild-wappen', 'artikel-wappen', 'wahlspruch', 'amtssprache', 'hauptstadt', 'staats- und regierungsform', 'staatsoberhaupt', 'regierungschef', 'fläche', 'einwohner', 'bev-dichte', 'bev-zunahme', 'bip', 'bip-erweitert', 'hdi', 'währung', 'gründung', 'nationalhymne', 'nationalfeiertag', 'zeitzone', 'kfz-kennzeichen', 'iso 3166', 'internet-tld', 'telefon-vorwahl', 'bild-lage', 'bild-lage-beschreibung', 'bild-lage-imagemap', 'bild1', 'bild1-beschreibung', 'bild1-imagemap', 'anmerkungen']",,,,,,"(nan, nan)",
58,Egerland,Egerland,,['CZ'],<wptools.page.WPToolsPage object at 0x7f959f43ad50>,False,[nan],,,,,,"(nan, nan)",
59,Eglofs (Argenbühl),Eglofs,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f42f3d0>,True,"['ortsteil', 'gemeindename', 'ortswappen', 'breitengrad', 'längengrad', 'bundesland', 'höhe', 'höhe-bezug', 'fläche', 'einwohner', 'einwohner-stand-datum', 'eingemeindungsdatum', 'postleitzahl1', 'vorwahl1', 'poskarte']",,,,,,"('9.9322', '47.6626')",
60,Eichsfeld,Eichsfeld,"['Fürstentum Eichsfeld', 'Fürstentum']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f959f42fc10>,False,[nan],,,,,,"(nan, nan)",
61,Elsen (Grevenbroich)#Deutschordensherrschaft,Elsen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f959f43ae90>,True,"['ortsteil', 'gemeindeart', 'gemeindename', 'breitengrad', 'längengrad', 'bundesland', 'höhe', 'höhe-bezug', 'einwohner', 'einwohner-stand-datum', 'eingemeindungsdatum', 'postleitzahl1', 'vorwahl1', 'poskarte']",,,,,,"('6.566389', '51.091111')",
62,England,England,,,<wptools.page.WPToolsPage object at 0x7f959f43ff50>,True,"['name', 'bild-lage', 'bild-lage-breite', 'bild-lage-beschreibung', 'bild-lage-imagemap', 'wappen', 'wappen-link', 'flagge', 'flagge-link', 'staat', 've11-name', 've11-art', 'hauptstadt', 'fläche', 'einwohner', 'stand', 'iso-code', 'breite', 'länge', 'bip', 'bip-währung', 'bip-kopf', 'farbe']",,,,,,"(nan, nan)",
63,Erfurter Staat,Erfurt,['Fürstentum'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f959f43f890>,True,"['name', 'wappen', 'karte', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichskreis', 'karte reichskreis', 'hauptstädte/residenzen', 'konfession/religion', 'sprache/n', 'fläche', 'einwohner', 'nachfolger']",,,,"1802/03 Königreich [[Preußen]], 1807 [[Fürstentum Erfurt]], 1815 Königreich Preußen und Großherzogtum [[Sachsen-Weimar-Eisenach]]","[[Römisch-katholische Kirche|römisch-katholisch]], ab Mitte des 16. Jahrhunderts: [[Evangelisch-lutherische Kirchen|evangelisch-lutherisch]], nur die Küchendörfer blieben katholisch","(nan, nan)",[[Erfurt]]
64,Erzbistum Besançon,Besançon,['Erzstift'],['FR'],<wptools.page.WPToolsPage object at 0x7f959f442f90>,True,"['karte', 'karte kirchenprovinz', 'karte kirchenprovinz beschreibung', 'staat', 'diözesanbischof', 'generalvikar', 'fläche', 'stand', 'pfarreien', 'einwohner', 'katholiken', 'diözesanpriester', 'ordenspriester', 'ständige diakone', 'ordensbrüder', 'ordensschwestern', 'ritus', 'liturgiesprache', 'kathedrale', 'website']",,,,,,"(nan, nan)",
65,Erzherzogtum Österreich,Österreich,['Herzogtum'],['AT'],<wptools.page.WPToolsPage object at 0x7f959f4420d0>,True,"['name', 'wappen', 'alternativnamen', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichstag', 'reichskreis', 'hauptstädte/residenzen', 'dynastien', 'konfession/religion', 'sprache/n', 'nachfolger']",,,[[Herzogtum Österreich]],"[[Erzherzogtum Österreich ob der Enns]], [[Erzherzogtum Österreich unter der Enns]]",[[Römisch-katholische Kirche|römisch-katholisch]],"(nan, nan)","[[Wien]] (Linz, Wiener Neustadt)"
66,Erzstift Magdeburg,Magdeburg,['Erzstift'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f442e50>,True,"['wappen', 'karte', 'bildtext', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichstag', 'reichsmatrikel', 'reichskreis', 'hauptstädte/residenzen', 'dynastien', 'konfession/religion', 'sprache/n', 'nachfolger']",,,,1648/1680: [[Herzogtum Magdeburg]],"katholisch, ab 1566 vornehmlich [[Evangelisch-lutherische Kirchen|lutherisch]]","(nan, nan)",unter anderem das erzbischöfliche Palais in Magdeburg
67,Erzstift Mainz,Mainz,['Erzstift'],"['DE-RP', 'DE-HE', 'DE-BY', 'DE-TH']",<wptools.page.WPToolsPage object at 0x7f959f446fd0>,False,[nan],,,,,,"(nan, nan)",
68,Esslingen am Neckar,Esslingen am Neckar,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f442d90>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'gliederung', 'adresse', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('09/18/39/O', '48/44/26/N')",
69,Feuchtwangen#Reichsstadt und beide Gemeinwesen,Feuchtwangen,['Reichsstadt'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f446f50>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'locode', 'gliederung', 'straße', 'website', 'bürgermeister', 'partei']",,,,,,"('10/19//E', '49/10//N')",
70,Frankreich,Frankreich,,,<wptools.page.WPToolsPage object at 0x7f959f44bf90>,True,"['name-amtssprache', 'name-deutsch', 'bild-flagge', 'artikel-flagge', 'bild-wappen', 'artikel-wappen', 'wappen-opt', 'wahlspruch', 'amtssprache', 'hauptstadt', 'staats- und regierungsform', 'staatsoberhaupt', 'regierungschef', 'fläche', 'einwohner', 'bev-dichte', 'bev-zunahme', 'bev-zunahme-zeitraum', 'bip', 'bip-erweitert', 'hdi', 'währung', 'nationalhymne', 'nationalfeiertag', 'zeitzone', 'kfz-kennzeichen', 'iso 3166', 'internet-tld', 'telefon-vorwahl', 'bild-lage', 'bild-lage-imagemap', 'bild-lage-beschreibung', 'bild1', 'bild1-beschreibung', 'bild2', 'bild2-beschreibung', 'anmerkungen']",,,,,,"(nan, nan)",
71,Freiburg im Üechtland#Mittelalter,Freiburg im Üechtland,"['Freie Reichsstadt', 'Reichsstadt']",['CH'],<wptools.page.WPToolsPage object at 0x7f959f44bf50>,True,"['name_ort', 'bild', 'beschreibung', 'bildpfad_karte', 'bildpfad_wappen', 'region-iso', 'bezirk', 'imagemap', 'bfs', 'plz', 'un/locode', 'breitengrad', 'längengrad', 'höhe', 'fläche', 'stadtpräsident', 'website']",Blick auf die Stadt<br /><small>Karte: Stadt Freiburg im [[Saanebezirk]] (2017)</small>,,,,,"('7.16259', '46.80624')",
