,old_name,modern_name,type_of_rule,modern_country,wikipage,wikibase,description,instance_of,inception,dissolved,religion,geoLoc,capital
90,Fürstentum Calenberg,Braunschweig-Calenberg,['Herzogtum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fc17cd0>,Q565812,principality,principality,+1494-01-01T00:00:00Z,+1705-01-01T00:00:00Z,,,Hanover
91,Fürstentum Calenberg,Calenberg,['Fürstentum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fc177d0>,Q565812,principality,principality,+1494-01-01T00:00:00Z,+1705-01-01T00:00:00Z,,,Hanover
92,Fürstentum Fritzlar,Fritzlar,['Fürstentum'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fc1a2d0>,Q114419,principality,principality,,,,,
93,Fürstentum Fulda und Corvey,Fulda und Corvey,['Fürstentum'],"['DE-HE', 'DE-NI']",<wptools.page.WPToolsPage object at 0x7f2a2fc173d0>,Q3403552,,principality,+1803-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,"(9.67175, 50.554)",Fulda
94,Fürstentum Fürstenberg,Fürstenberg,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc1ad50>,Q474421,principality,principality,+1218-01-01T00:00:00Z,+1408-01-01T00:00:00Z,,,Fürstenberg Castle
95,Fürstentum Glogau,Glogau,"['Reichsfürst', 'Fürstentum']",['PL'],<wptools.page.WPToolsPage object at 0x7f2a2fc1acd0>,Q684501,,Duchies of Silesia,+1177-01-01T00:00:00Z,+1815-01-01T00:00:00Z,,"(16.0833, 51.6667)",
96,Fürstentum Grubenhagen,Braunschweig-Grubenhagen,['Herzogtum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fc1a290>,Q567634,subdivision of the Duchy of Brunswick-Lüneburg from 1291 to 1617 AD,administrative territorial entity,+1291-01-01T00:00:00Z,+1596-01-01T00:00:00Z,,,Einbeck
97,Fürstentum Göttingen,Göttingen,['Fürstentum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fc1aad0>,Q571653,,principality,+1279-01-01T00:00:00Z,+1495-01-01T00:00:00Z,,,Göttingen
98,Fürstentum Leiningen,Leiningen,['Fürstentum'],"['DE-BW', 'DE-BY']",<wptools.page.WPToolsPage object at 0x7f2a2fc1ad10>,Q541181,,principality,,+1806-00-00T00:00:00Z,,,Amorbach
99,Fürstentum Lüneburg,Braunschweig-Celle,['Herzogtum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fba3bd0>,Q280312,principality,principality,+1269-00-00T00:00:00Z,+1705-01-01T00:00:00Z,Catholic Church,,Lüneburg
100,Fürstentum Lüneburg,Lüneburg,['Fürstentum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fba3d50>,Q280312,principality,principality,+1269-00-00T00:00:00Z,+1705-01-01T00:00:00Z,Catholic Church,,Lüneburg
101,Fürstentum Minden,Minden,['Fürstentum'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fba3950>,Q876546,principality,principality,+1648-00-00T00:00:00Z,+1807-00-00T00:00:00Z,,"(8.78769, 52.3421)",
102,Fürstentum Moers,Moers,['Fürstentum'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fba3d90>,Q26271833,,principality,,,,,
103,Fürstentum Neisse,Neisse,['Fürstentum'],"['CS', 'DE']",<wptools.page.WPToolsPage object at 0x7f2a2fbaaed0>,Q570702,,Duchies of Silesia,+1000-00-00T00:00:00Z,+1850-01-01T00:00:00Z,,"(17.3333, 50.4667)",Nysa
104,Fürstentum Orange,Oranien,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fba3e50>,Q2281221,feudal state in what is now France,principality,+1163-01-01T00:00:00Z,+1713-01-01T00:00:00Z,,,Orange
105,Fürstentum Piombino,Piombino,['Stadtstaat'],['IT'],<wptools.page.WPToolsPage object at 0x7f2a2fbaad50>,Q537503,,historical country,+1398-01-01T00:00:00Z,+1805-01-01T00:00:00Z,,,Piombino
106,Fürstentum Pleß,Pleß,['Freie Standesherrschaft'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a2fba36d0>,Q474263,,herrschaft,+1517-01-01T00:00:00Z,,,"(18.9476, 49.9813)",Pszczyna
107,Fürstentum Ratzeburg,Ratzeburg,['Fürstentum'],"['DE-MV', 'DE-SH']",<wptools.page.WPToolsPage object at 0x7f2a2fbaaf90>,Q315657,principality,principality,,,,,
108,Fürstentum Rostock,Rostock,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-MV'],<wptools.page.WPToolsPage object at 0x7f2a2fbaa1d0>,Q1614435,former country,historical country,+1226-00-00T00:00:00Z,+1323-00-00T00:00:00Z,,,Rostock
109,Fürstentum Rügen,Rügen,['Fürstentum'],['DE-MV'],<wptools.page.WPToolsPage object at 0x7f2a2fbaae50>,Q571428,former principality,principality,+1168-01-01T00:00:00Z,+1325-01-01T00:00:00Z,,,
110,Fürstentum Sachsen-Querfurt,Querfurt,['Fürstentum'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fbaa050>,Q700247,,state in the Holy Roman Empire,+1656-01-01T00:00:00Z,+1746-01-01T00:00:00Z,,,Weißenfels
